2018-04-20 20:02:04,b'RT @BarbaraXLow: Truth and facts about #420Day https://t.co/XMGdtq76oK',California
2018-04-20 20:02:04,b'RT @USATODAY: Former NBA player Kenyon Martin believes \xe2\x80\x9c85% of the league\xe2\x80\x9d smoked marijuana during his career. #420day https://t.co/TpYJlq0\xe2\x80\xa6',California
2018-04-20 20:02:04,b'Kudos to John Heilamann for calling #420day his favorite holiday. @MSNBC',California
2018-04-20 20:02:04,b'RT @ProgressVoice: RETWEET IF YOU THINK WE SHOULD LEGALIZE MARIJUANA!!\n\n#420day #weedweek #420Books',California
2018-04-20 20:02:04,"b"" #420day RT @MrFilmkritik: Today is 4/20, so here\xe2\x80\x99s a reminder that if y'all support the legalization of marijuana, you also need to be supporting d\xe2\x80\xa6""",California
2018-04-20 20:02:04,b'RT @TVD_Season_7: The moment Elena &amp; Jeremy did something normal!!! #420day #Happy420 https://t.co/lDKXTUmPac',California
2018-04-20 20:02:03,b'RT @Lavernecox: Happy #420day. I have never smoked weed in my life but support decriminalization and think we need to get folks out of pris\xe2\x80\xa6',California
2018-04-20 20:02:02,b'RT @PlanetGreen: Why the legalization of marijuana may be good for agriculture #420day https://t.co/QKrqT0Gbqz https://t.co/qQBUWkdZsG',California
2018-04-20 20:02:02,b' #420day RT @HowlingWolfProd: #Coachella Weekend 2 is here! I think this guy on stilts and this lady on the tight rope are taking 420 a little bit l\xe2\x80\xa6',California
2018-04-20 20:02:02,b'RT @wyomingpd: Undercover #420day operations are in place. \n\nIncognito traps have been set up throughout the city. \n\n#Happy420 https://t.co\xe2\x80\xa6',California
2018-04-20 20:02:02,b'The latest The Health &amp; Wellness Daily! https://t.co/OAU1ZUXdrT Thanks to @DMansini @WickedUK #10tv #420day',California
2018-04-20 20:02:02,"b"" #420day RT @MrFilmkritik: Today is 4/20, so here\xe2\x80\x99s a reminder that if y'all support the legalization of marijuana, you also need to be supporting d\xe2\x80\xa6""",California
2018-04-20 20:02:02,b'RT @firstwefeast: This is what happens when you combine a @shakeshack Burger and @tacobell Nacho Fries! \xf0\x9f\x8d\x94\xf0\x9f\x8d\x9f #420day https://t.co/RlUpcrf9N8',California
2018-04-20 20:02:01,b'Did you know: Only 1 in 7 #California cities allow recreational #cannabis stores? https://t.co/aq10JxbBOy via @mercnews #420day',California
2018-04-20 20:02:01,b' #420day RT @sahluwal: As our nation profits from the sale of legalized cannabis I want you to remember the countless Americans sitting behind bars\xe2\x80\xa6',California
2018-04-20 20:02:01,b'RT @firstwefeast: #Munchies? We got you covered! #420Day https://t.co/zh5PZGHtk7',California
2018-04-20 20:02:01,b' #420day RT @Boondockfinds: 53mm of Sunshine on your neck. Sterling Silver big round Drop necklace. https://t.co/obqzGRbb5M via @Etsy #FridayFeeling\xe2\x80\xa6',California
2018-04-20 20:02:01,b' #420day RT @africanarchives: Bob Marley talking about Marijuana.\n\n\xe2\x80\x9cHerbs a plant. Why these people that wants to do so much good for everyone calli\xe2\x80\xa6',California
2018-04-20 20:02:01,b'RT @Lavernecox: Happy #420day. I have never smoked weed in my life but support decriminalization and think we need to get folks out of pris\xe2\x80\xa6',California
