2018-04-20 20:13:21,b'#LABCSummit18 #NationalLookAlikeDay #greatreadpbs #ALBOE #GaryVeeBreakfast #NewMusicFriday Super Six  https://t.co/duQUKUScPT',California
2018-04-20 20:11:41,"b' #LABCSummit18 RT @SCE_JoshuaT: ""We have to make sure it (#ElectricVehicles) isn\'t just a wealthy person\'s option."" - @SCE_TE Pres Ron Nichols at #LABCSum\xe2\x80\xa6'",California
2018-04-20 20:11:12,"b"" #LABCSummit18 RT @RenewFinancial: Our CEO @ciscodv: \xe2\x80\x9cAs founder and CEO of Renew Financial, I'm very much focused on how we democratize access to clean e\xe2\x80\xa6""",California
2018-04-20 20:10:59,"b' #LABCSummit18 RT @StephanieMolen: ""This is the clean energy DreamTeam, and Ted is the 6th Man coming in to help get it done with the CCA."" Said Jake Levi\xe2\x80\xa6'",California
2018-04-20 20:09:15,"b' #LABCSummit18 ""This is the clean energy DreamTeam, and Ted is the 6th Man coming in to help get it done with the CCA."" Said Jake\xe2\x80\xa6 https://t.co/rPGLdwhO8n'",California
2018-04-20 20:08:21,"b""RT @SCE_DianeF: We @edisonintl are proud to sponsor #LABCSummit18  and congratulate this year's @labctweets honorees #FutureIsElectric http\xe2\x80\xa6""",California
2018-04-20 20:07:08,"b' #LABCSummit18 @jaimenack Hey, fellow @UCLALuskin MPP! There are some current students (including myself)\xe2\x80\x94as well as a recent grad\xe2\x80\xa6 https://t.co/g8evBhCJpX'",California
2018-04-20 20:05:04,"b"" #LABCSummit18 Our CEO @ciscodv: \xe2\x80\x9cAs founder and CEO of Renew Financial, I'm very much focused on how we democratize access to cle\xe2\x80\xa6 https://t.co/Cq5U5xealk""",California
2018-04-20 20:04:51,"b""We @edisonintl are proud to sponsor #LABCSummit18  and congratulate this year's @labctweets honorees\xe2\x80\xa6 https://t.co/gygx8Z8UeF""",California
2018-04-20 20:03:08,"b' #LABCSummit18 Our #CleanEnergy goals are going to require new infrastructure,  new thinking, investments, and policy shifts like\xe2\x80\xa6 https://t.co/ocg97cL89X'",California
2018-04-20 20:01:01,"b""RT @OregonGovBrown: Starting now! I'm joining @GovInslee and @MayorOfLA at #LABCSummit18 to discuss #ClimateAction, watch it live: https://\xe2\x80\xa6""",California
2018-04-20 20:00:26,"b' #LABCSummit18 RT @CleanairCA: ""All the evidence suggests 100% Clean Energy is totally possible""\nSenate President pro Tem Kevin De Leon (@kdeleon)\n#sb100\xe2\x80\xa6'",California
2018-04-20 20:00:24,b'RT @JCAinLA: @labctweets #LABCSummit18 Technology-Enabled panelists @WalmartAction @Tesla @MitsubishiHVAC @SiemensUSA @LACIncubator https:/\xe2\x80\xa6',California
2018-04-20 20:00:17,b'RT @StephanieMolen: What a strong panel for technology enabled solutions for a green economy and future. @labctweets #labcsummit18 Moderato\xe2\x80\xa6',California
2018-04-20 20:00:04,b'#LABCSummit18 IS OVER! https://t.co/Ez0QeRmKEs',California
2018-04-20 19:59:47,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
2018-04-20 19:59:21,"b' #LABCSummit18 RT @CleanairCA: ""The President\'s fossil fuel fetish is out of whack with the reality of where the real job growth is coming from.""\nSenate P\xe2\x80\xa6'",California
2018-04-20 19:59:02,"b' #LABCSummit18 RT @CleanairCA: David Wright, General Manager of @LADWP, says that we can get really strong #EV growth by creating incentives in the second\xe2\x80\xa6'",California
2018-04-20 19:58:41,"b' #LABCSummit18 RT @SCE_JoshuaT: ""We have to make sure it (#ElectricVehicles) isn\'t just a wealthy person\'s option."" - @SCE_TE Pres Ron Nichols at #LABCSum\xe2\x80\xa6'",California
2018-04-20 19:58:31,b'RT @SCE_HaigK: &gt;@SCE Pres. Ron Nichols is speaking now @labctweets Sustainability Summit\n#LABCSummit18\n\nLive stream: https://t.co/aStAv7N6K\xe2\x80\xa6',California
2018-04-20 19:58:29,b' #LABCSummit18 RT @CleanairCA: Washington Governor Jay Inslee (@JayInslee) tells the story of a young woman who grew up in an industrial district in South\xe2\x80\xa6',California
2018-04-20 19:58:17,"b' #LABCSummit18 RT @SCE_JoshuaT: ""We have to make sure it (#ElectricVehicles) isn\'t just a wealthy person\'s option."" - @SCE_TE Pres Ron Nichols at #LABCSum\xe2\x80\xa6'",California
2018-04-20 19:58:07,"b"" #LABCSummit18 In order to reach CA's #CleanAir &amp; #GHGreduction goals, we need to deploy 7 million light+medium+heavy duty vehicle\xe2\x80\xa6 https://t.co/nnT3b4SoWZ""",California
2018-04-20 19:58:01,"b"" #LABCSummit18 RT @CleanairCA: Los Angeles Mayor Eric Garcetti (@ericgarcetti) points out that most people are concerned about what's going to happen in t\xe2\x80\xa6""",California
2018-04-20 19:57:16,b'RT @SCE_JanelleH: Excited to sponsor @labctweets Regional Solutions for an Inclusive Clean Economy Summit #LABCSummit18 https://t.co/FkHtmD\xe2\x80\xa6',California
2018-04-20 19:56:18,"b'Myeisha Gami\xc3\xb1o, Director, Corporate Affairs &amp; Government Relations presenting at the #LABCSummit18 concerning the\xe2\x80\xa6 https://t.co/mFcRLAdegu'",California
2018-04-20 19:54:41,"b' #LABCSummit18 RT @SCE_JoshuaT: ""We have to make sure it (#ElectricVehicles) isn\'t just a wealthy person\'s option."" - @SCE_TE Pres Ron Nichols at #LABCSum\xe2\x80\xa6'",California
2018-04-20 19:52:49,"b' #LABCSummit18 ""We have to make sure it (#ElectricVehicles) isn\'t just a wealthy person\'s option."" - @SCE_TE Pres Ron Nichols at\xe2\x80\xa6 https://t.co/A5gZvcqCKw'",California
2018-04-20 19:52:48,"b'Pacific Coast Collaboration on display at #LABCSummit18, representing 1/5 of the global economy, and powered by 63%\xe2\x80\xa6 https://t.co/L6WnUo5tIy'",California
2018-04-20 19:50:52,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
2018-04-20 19:49:16,"b"" #LABCSummit18 RT @CleanairCA: Los Angeles Mayor Eric Garcetti (@ericgarcetti) points out that most people are concerned about what's going to happen in t\xe2\x80\xa6""",California
2018-04-20 19:49:08,b' #LABCSummit18 RT @CleanairCA: Washington Governor Jay Inslee (@JayInslee) tells the story of a young woman who grew up in an industrial district in South\xe2\x80\xa6',California
2018-04-20 19:49:00,"b"" #LABCSummit18 Los Angeles Mayor Eric Garcetti (@ericgarcetti) points out that most people are concerned about what's going to hap\xe2\x80\xa6 https://t.co/qirut4GsFX""",California
2018-04-20 19:48:43,b' #LABCSummit18 Washington Governor Jay Inslee (@JayInslee) tells the story of a young woman who grew up in an industrial district\xe2\x80\xa6 https://t.co/ohhbZVA9fj',California
2018-04-20 19:48:28,"b' #LABCSummit18 RT @SCE_DianeF: Pres. @SCE Ron Nichols -how can we get to our clean energy goals ""so that it is affordable for all income levels"" and ""make\xe2\x80\xa6'",California
2018-04-20 19:48:17,"b' #LABCSummit18 RT @SCE_DianeF: Pres. @SCE Ron Nichols -how can we get to our clean energy goals ""so that it is affordable for all income levels"" and ""make\xe2\x80\xa6'",California
2018-04-20 19:48:14,"b' #LABCSummit18 Pres. @SCE Ron Nichols -how can we get to our clean energy goals ""so that it is affordable for all income levels"" a\xe2\x80\xa6 https://t.co/KBDbpOausB'",California
2018-04-20 19:44:18,"b' #LABCSummit18 Guess what, Mr. Maullin? We won\xe2\x80\x99t need 7 million EV\xe2\x80\x99s once we have @metrolosangeles complete and #affordablehousing\xe2\x80\xa6 https://t.co/EVcu6vwnWO'",California
2018-04-20 19:39:09,b'&gt;@SCE Pres. Ron Nichols is speaking now @labctweets Sustainability Summit\n#LABCSummit18\n\nLive stream:\xe2\x80\xa6 https://t.co/BK0ofskXhr',California
2018-04-20 19:39:08,b'West Coast Climate Leaders @ericgarcetti @KateBrownForOR @JayInslee #LABCSummit18 \xe2\x80\x9cWe know that we don\xe2\x80\x99t have to pi\xe2\x80\xa6 https://t.co/47qcdCdLhl',California
2018-04-20 19:38:15,b'RT @SCE_DianeF: We @SCE are pleased to part of the discussion to help reach CA #cleanenergy goals at #LABCSummit18 https://t.co/G2xG3C3rPz',California
2018-04-20 19:38:05,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
2018-04-20 19:35:22,b'Making wondrous discoveries on #sustainability at #LABCSummit18 .  @mnsengineers is here. https://t.co/X3TTFa89fS',California
2018-04-20 19:35:00,"b' #LABCSummit18 RT @OregonGovBrown: #ClimateChange will affect everyone, but our underserved communities feel the impacts the most and hardest. As we move\xe2\x80\xa6'",California
