2018-04-20 20:01:55,b'RT @XThreeee: #RingStruck4 \n Nothing but bangers https://t.co/1NB9f9pt0B',California
2018-04-20 20:01:48,b'These are definitely classics. Some of my favourite matches of all time #RingStruck4 https://t.co/kBzWnMwzj8',California
2018-04-20 20:01:36,b'RT @DanRyckert: First four I thought of for #RingStruck4 https://t.co/ApFruOuDBj',California
2018-04-20 20:01:34,"b'RT @ryansatin: Great idea, @chillhartman!  \n\n#ringstruck4 https://t.co/C3KO4Gb0Mq'",California
2018-04-20 20:01:33,"b"" #RingStruck4 RT @TheMarkGolden: As a 30+year fan of professional wrestling, it's difficult for me to narrow it down to just four matches, but WCW in 199\xe2\x80\xa6""",California
2018-04-20 20:01:17,"b""RT @workratewarrior: #RingStruck4 If you haven't seen Angle vs Lesnar 60 min ironman match, I feel sorry for you. https://t.co/9eGLsuWBth""",California
2018-04-20 20:01:02,"b'#RingStruck4 \nHbk vs. Flair - first match memory , only match to make me cry \nTaker vs. Shawn 25 - best wrestlemani\xe2\x80\xa6 https://t.co/5s4TBn3yXs'",California
2018-04-20 20:00:41,"b'#RingStruck4\nSavage-Steamboat, WrestleMania III\nFlair-Steamboat, Clash of the Champions VI\nLiger-Muta, NJPW Super G\xe2\x80\xa6 https://t.co/i31vEdkG23'",California
2018-04-20 20:00:13,b'Not my four favorite matches necessarily but the four matches I had the most visceral responses to #RingStruck4 https://t.co/arPmR70u6n',California
2018-04-20 20:00:10,"b' #RingStruck4 Here are my fave four. There are many more, but these come to the forefront as soon as I think about my fave matche\xe2\x80\xa6 https://t.co/uviZVP3Yks'",California
2018-04-20 19:59:58,b'RT @VRTLPROS: I\xe2\x80\x99ve been waiting 2 days for this pick 4 things meme to hit wrestling so I can make this joke #ringstruck4 https://t.co/vSEfZ\xe2\x80\xa6',California
2018-04-20 19:59:51,"b'Well, these were very tough decisions #ringstruck4 https://t.co/C84SXcbLv5'",California
2018-04-20 19:59:46,"b'RT @wehavefunhere: @WrestlingSheet Rock/Austin WMX7, Rock/Mankind Empty Arena match, Punk/Cena MITB, Great Muta/Jushin Liger #ringstruck4 h\xe2\x80\xa6'",California
2018-04-20 19:59:31,"b'#RingStruck4\n\nThese four matches started, reinvigorated, and transformed my fandom. (And in the case of Sami/Kevin,\xe2\x80\xa6 https://t.co/T3cqY0whwB'",California
2018-04-20 19:59:23,b'#RingStruck4 \n\n4 definitive examples of my favorite time as a wrestling fan. nWo 4 LIFE \n\nps. That catchphrase is n\xe2\x80\xa6 https://t.co/i4QA89qW0x',California
2018-04-20 19:59:16,"b' #RingStruck4 This matches introduced me in the entire facets of the wrestling business, loving all the process of making jeff ha\xe2\x80\xa6 https://t.co/IsiP3m0m2C'",California
2018-04-20 19:59:16,b'@WrestlingSheet this is stupid hard. #RingStruck4 https://t.co/8vwcjwtHTA',California
2018-04-20 19:59:15,b'Holy crap #RingStruck4 is trending! Well it was hard to choose the 4 best matches that defined my love for wrestlin\xe2\x80\xa6 https://t.co/QlYoxyDzYc',California
2018-04-20 19:59:00,b' #RingStruck4 Easy. All 4 matches are from Summerslam 1998 at MSG. @TripleH @TheRock @TheRealXPac @RealJeffJarrett @WWERoadDogg\xe2\x80\xa6 https://t.co/0fDMJNVYmr',California
