2018-04-20 20:02:05,b'RT @EJT___: #SignsYoureInMyHometown\n\nThey roll up the sidewalks at 10:00',California
2018-04-20 20:02:04,"b""#SignsYoureInMyHometown You laugh in your kids' faces when they say they're bored as you remember your own childhood.""",California
2018-04-20 20:01:57,b'When spring thaw reveals trucks #SignsYoureInMyHometown https://t.co/Cd0DOoHaQ4',California
2018-04-20 20:01:52,b' #SignsYoureInMyHometown You spend hours pondering how three Dippin\xe2\x80\x99 Donuts and eight Dunkin\xe2\x80\x99 Donuts can co-exist in a five mile radius\xe2\x80\xa6 https://t.co/NxCyxd7eJB',California
2018-04-20 20:01:50,b'It smells like dogshit #SignsYoureInMyHometown',California
2018-04-20 20:01:50,"b' #SignsYoureInMyHometown If you need anything fixed you have to use code words, like \n\n""L.B.\'s daughter said Jimmy fixed hers last year.""\xe2\x80\xa6 https://t.co/RsZghRBNgf'",California
2018-04-20 20:01:46,"b'RT @justbadgerfudge: #SignsYoureInMyHometown\nWe only have stop signs, no traffic lights.'",California
2018-04-20 20:01:44,b'When your in the country #SignsYoureInMyHometown',California
2018-04-20 20:01:36,"b""#SignsYoureInMyHometown there's a barber shop with an art exhibit inside, a wine shop/notary, and the people at CVS know your name.""",California
2018-04-20 20:01:35,b'RT @RandilynIsIn: #SignsYoureInMyHometown you confuse Rolls Royces for Bentleys',California
2018-04-20 20:01:29,"b' #SignsYoureInMyHometown RT @HumpDayHashTags: you\xe2\x80\x99ve spent 15 minutes discussing the merits of a sacrifice bunt with one out, men on first and second, the number 7\xe2\x80\xa6'",California
2018-04-20 20:01:23,"b""I know what they called you in high school\n#SignsYoureInMyHometown\nRT or I'll tell everybody""",California
2018-04-20 20:01:23,"b""#SignsYoureInMyHometown\nYou'll meet some very nice people..\xf0\x9f\x92\x95""",California
2018-04-20 20:01:22,b' #SignsYoureInMyHometown When you are enjoying a Board and a Bottle for $20 on Mondays and Tuesdays after 8PM at Postino!\xe2\x80\xa6 https://t.co/FOG6oDhzHb',California
2018-04-20 20:01:19,b'RT @robyndwoskin: Potholes are everywhere!#SignsYoureInMyHometown https://t.co/Jyaa6FHpW4',California
2018-04-20 20:01:14,"b""#SignsYoureInMyHometown\n\nDid you just blink? Oh, then you're not in my hometown any more, nevermind.""",California
2018-04-20 20:01:14,b'you go to IKEA! \xf0\x9f\x8c\x9d\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbb\xf0\x9f\x87\xb8\xf0\x9f\x87\xaa @IKEA_Merriam #SignsYoureInMyHometown',California
2018-04-20 20:01:11,"b"" #SignsYoureInMyHometown RT @HappyHourTags: See this gorgeous skyline? It's my hometown of Cleveland, OH. It's time for you to rep YOUR hometown and...\n\nPLAY: #Sign\xe2\x80\xa6""",California
2018-04-20 20:01:00,"b""#SignsYoureInMyHometown You're not considered native until 3rd generation. After all if the cat had kittens in the\xe2\x80\xa6 https://t.co/2BXtam3znJ""",California
2018-04-20 20:01:00,b'If you stand in line for over an hour to get an ice cream cone...  #SignsYoureInMyHometown https://t.co/jMfpO6m5vS',California
2018-04-20 20:00:59,"b'#SignsYoureInMyHometown\nWe only have stop signs, no traffic lights.'",California
2018-04-20 20:00:57,b'RT @elizettezamora: The great Mexican food you\xe2\x80\x99ll come across \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #SignsYoureInMyHometown',California
2018-04-20 20:00:57,b'#SignsYoureInMyHometown even the Klingons are polite.',California
2018-04-20 20:00:54,b'#SignsYoureInMyHometown\n\n-You don\xe2\x80\x99t realize you\xe2\x80\x99re in a town at all\n\n-There are Amish\n\n-You can\xe2\x80\x99t find the post off\xe2\x80\xa6 https://t.co/s7kzFSQOjE',California
2018-04-20 20:00:54,b'Hardly anyone has English as a first language. We have many lovely Eastern Europeans etc. #SignsYoureInMyHometown',California
2018-04-20 20:00:45,b'RT @Its_Pennywise_: #SignsYoureInMyHometown \nThere\xe2\x80\x99s a curfew because of how many children go missing at night. \xf0\x9f\xa4\xa1\xf0\x9f\x98\x88\xf0\x9f\x91\x80\xf0\x9f\x8e\x88 #Pennywise #ITMovie #H\xe2\x80\xa6',California
