2018-04-20 20:27:40,"b""82'| TNS 2-1 CQN\nRyan Brobbel wins a corner for TNS. #JDWPL""",London
2018-04-20 20:24:46,"b'Big chance for Carmarthen to go in front here as Clayton Green heads onto the bar, before Surman half volleys the rebound over. #JDWPL'",London
2018-04-20 20:23:14,"b"" #JDWPL RT @tnsfc: 68'| A SECOND GOAL FOR TNS 2-1 CQN\nRyan Pryce cuts inside, carries the ball forward before curling the shot past the goalkeeper.\xe2\x80\xa6""",London
2018-04-20 20:19:05,"b"" #JDWPL RT @tnsfc: 68'| A SECOND GOAL FOR TNS 2-1 CQN\nRyan Pryce cuts inside, carries the ball forward before curling the shot past the goalkeeper.\xe2\x80\xa6""",London
2018-04-20 20:16:03,"b"" #JDWPL GOAL/G\xc3\x94L: @AberystwythTown 1-1 @CarmarthenAFC (Morgan, 56')\n\nBig goal out west, as a scramble in the Aber box leads\xe2\x80\xa6 https://t.co/sg258Jm2l2""",London
2018-04-20 20:14:59,"b"" #JDWPL GOAL/G\xc3\x94L: @tnsfc 2-1 @the_nomads (Pryce, 67')\n\nIt's all turned around at Park Hall, as Ryan Pryce beats Danby to gi\xe2\x80\xa6 https://t.co/ALoLoOb2ub""",London
2018-04-20 20:14:36,"b"" #JDWPL RT @tnsfc: 68'| A SECOND GOAL FOR TNS 2-1 CQN\nRyan Pryce cuts inside, carries the ball forward before curling the shot past the goalkeeper.\xe2\x80\xa6""",London
2018-04-20 20:14:10,"b"" #JDWPL 68'| A SECOND GOAL FOR TNS 2-1 CQN\nRyan Pryce cuts inside, carries the ball forward before curling the shot past th\xe2\x80\xa6 https://t.co/FeQnVa6UQC""",London
2018-04-20 20:12:45,"b""67'| TNS 1-1 CQN\nSteve Saunders attempts a double roulette turn in the Nomads' box, but he gets crowded out and loses the ball. #JDWPL""",London
2018-04-20 20:08:20,"b"" #JDWPL RT @WPL_Official: GOAL/G\xc3\x94L: @tnsfc 1-1 @the_nomads (Draper, 58' PEN)\n\nThe Champions are level. Brobbel is brought down in the box, and Greg\xe2\x80\xa6""",London
2018-04-20 20:08:03,"b"" #JDWPL GOAL/G\xc3\x94L: @tnsfc 1-1 @the_nomads (Draper, 58' PEN)\n\nThe Champions are level. Brobbel is brought down in the box, an\xe2\x80\xa6 https://t.co/dZC8Hv4dWD""",London
