2018-04-20 20:26:09,b'Oh no...... \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f#MUNTOT #FACup https://t.co/wlQXGBhYYg',London
2018-04-20 20:23:04,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 20:17:53,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 20:15:43,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 20:15:00,"b' #MUNTOT \xf0\x9f\x9a\xa8MAN UTD PRICE BOOST\xf0\x9f\x9a\xa8\n\n8/1 to beat Tottenham in the #FACup semi-final here  \xe2\x9e\xa1\xef\xb8\x8fhttps://t.co/ynM6VjxFj0 \n\nBet \xc2\xa35, get\xe2\x80\xa6 https://t.co/ysuNHF0c5C'",London
2018-04-20 20:14:57,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 20:12:31,"b""RT @unibetbelgium: \xf0\x9f\x87\xa7\xf0\x9f\x87\xaa Romelu Lukaku's last 11 #FACup matches\n\n\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f\xe2\x9a\xbd\xef\xb8\x8f\n\nSpurs are next \xf0\x9f\x98\x8f\n\n#MUNTOT https://t.co/2WHfy1pmRK""",London
2018-04-20 20:10:06,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 20:08:08,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 20:07:21,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 20:04:46,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 20:00:02,"b"" #MUNTOT Who's not got a Coral account?\n\nJoin today and you can get A GOAL TO BE SCORED in Man United v Spurs at a HUGE 25/1\xe2\x80\xa6 https://t.co/ZECLG4uKQA""",London
2018-04-20 19:58:32,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:57:48,b'#MUNTOT #FACup #Wembley : #Mourinho vs #Pochettino in @wembleystadium on 3rd Occasion in a 3rd tournament. In 2015\xe2\x80\xa6 https://t.co/OA1sRJi03b',London
2018-04-20 19:56:54,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:56:44,"b""@RealCrackling Best snacks! I'm nervous for #MUNTOT""",London
2018-04-20 19:56:11,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:51:02,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:49:22,b'RT @BoyleOffers: DOUBLE WINNINGS as a free bet if the crossbar is hit in Man United v Tottenham!\n\nOpt in &gt; https://t.co/9zcMYQboAW  #MUNTOT\xe2\x80\xa6',London
2018-04-20 19:47:14,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:46:15,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:44:30,b' #MUNTOT \xf0\x9f\x93\xa2 Bet with SLbet and get a massive bonus of up to \xe2\x82\xac100 \xf0\x9f\x92\xb6\n\n\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xa5\xf3\xa0\x81\xae\xf3\xa0\x81\xa7\xf3\xa0\x81\xbf #PremierLeague\n \xe2\x96\xaa\xef\xb8\x8f#WBALIV\n \xe2\x96\xaa\xef\xb8\x8f#WATCRY\n\n\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xa5\xf3\xa0\x81\xae\xf3\xa0\x81\xa7\xf3\xa0\x81\xbf\xe2\x80\xa6 https://t.co/nyFhAmHUhD',London
2018-04-20 19:42:56,"b'My #savacca picks: #MUNTOT = Away, #WATCRY = Home, #CHESOU= Home, #ARSWHU= Home, #MCISWA= Home https://t.co/Tw10GeybpY'",London
2018-04-20 19:42:54,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:39:35,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:37:04,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:36:32,b'Make \xc2\xa318.43 potential profit on #MUFC v #Spurs with this BoyleSports offer! #MUNTOT #FACup\n\nSEE HOW:\xe2\x80\xa6 https://t.co/vXKsUQO5rF',London
2018-04-20 19:34:36,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:34:20,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:32:54,b'Just saying @AnthonyMartial is probably the best man for an FA Cup Semi-Final #MUNTOT https://t.co/KrGIh2HHbZ',London
2018-04-20 19:32:38,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:32:04,b'Make \xc2\xa318.43 potential profit on #MUFC v #Spurs with this BoyleSports offer! #MUNTOT #FACup\n\nSEE HOW:\xe2\x80\xa6 https://t.co/Yz7JWBc51i',London
2018-04-20 19:24:18,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:22:01,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:18:40,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:18:06,"b""So nervous for tomorrow's #FACup semi final #MUNTOT #COYS COME ON TOTTENHAM""",London
2018-04-20 19:15:00,"b"" #MUNTOT Here's a look at the scorer markets ahead of the first FA Cup semi-final between Manchester United and Tottenham:\xe2\x80\xa6 https://t.co/32P2aK0Yao""",London
2018-04-20 19:14:00,b'Tottenham vs Man Utd for a place in the FA Cup Final tomorrow! \xf0\x9f\x8f\x86    \n\nPreview &amp; tips \xf0\x9f\x99\x8c \xe2\xac\x87\xef\xb8\x8f\n\nhttps://t.co/TvGgd1FCmc\n\n#TeamFT #MUNTOT \xe2\x9a\xbd',London
2018-04-20 19:13:02,b'RT @BoyleOffers: DOUBLE WINNINGS as a free bet if the crossbar is hit in Man United v Tottenham!\n\nOpt in &gt; https://t.co/9zcMYQboAW  #MUNTOT\xe2\x80\xa6',London
2018-04-20 19:12:55,b' #MUNTOT DOUBLE WINNINGS as a free bet if the crossbar is hit in Man United v Tottenham!\n\nOpt in &gt; https://t.co/9zcMYQboAW\xe2\x80\xa6 https://t.co/p4bB2zsDa0',London
2018-04-20 19:12:44,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:11:20,b'Make \xc2\xa333.83 potential profit on #MUFC v #Spurs with this Coral offer! #MUNTOT #FACup\n\nSEE HOW:\xe2\x80\xa6 https://t.co/48TDNvhm9E',London
2018-04-20 19:10:05,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:07:35,b' #MUNTOT RT @ManUtdHyderabad: SCREENING ALERT \xf0\x9f\x9a\xa8\n\n@EmiratesFACup semi-final time as the Reds march on to Wembley..\xf0\x9f\x8f\x86 \n\n\xf0\x9f\x86\x9a @SpursOfficial\n\xf0\x9f\x95\x99 9:45 PM IST\xe2\x80\xa6',London
2018-04-20 19:06:53,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:05:16,b' #MUNTOT UNMISSABLE OFFER!\n\nGet 20/1 Man UTD or 10/1 Tottenham to win! Max bet \xc2\xa35!\n\nJoin 888sport \xe2\x8f\xa9 https://t.co/5aYXeLfbKQ\xe2\x80\xa6 https://t.co/V973ZAwK1H',London
2018-04-20 19:04:32,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
2018-04-20 19:02:06,b'Make \xc2\xa333.83 potential profit on #MUFC v #Spurs with this Coral offer! #MUNTOT #FACup\n\nSEE HOW:\xe2\x80\xa6 https://t.co/bHM7fNK8bV',London
2018-04-20 19:01:03,"b"" #MUNTOT RT @RealCrackling: It's FA Cup semi-finals weekend and we want to celebrate by giving away a Real Pork Crackling Co. Selection Box! \n\nRT an\xe2\x80\xa6""",London
