2018-04-20 20:16:13,b'RT @bbcmusic: \xf0\x9f\x92\x95@ShawnMendes is HERE! #SoundsLikeFridayNight https://t.co/AANb9N88JM',London
2018-04-20 20:16:11,"b""RT @bbcmusic: Can we just take a moment to appreciate that @ShawnMendes performance of 'In My Blood'? \xf0\x9f\x98\x8d \xe2\x9d\xa4\xef\xb8\x8f\n#SoundsLikeFridayNight https://t\xe2\x80\xa6""",London
2018-04-20 20:16:02,"b""RT @bbcmusic: 'Lost In Japan' was a world exclusive #SoundsLikeFridayNight performance from @ShawnMendes \xf0\x9f\x92\x95\n\nWhat did you think? \xe2\x9d\xa4\xef\xb8\x8f\nWatch in\xe2\x80\xa6""",London
2018-04-20 20:15:58,b'RT @bbcmusic: We think the #SoundsLikeFridayNight crowd enjoyed @ShawnMendes \xf0\x9f\x98\x8e https://t.co/PBWhNW0EVo',London
2018-04-20 20:15:58,b'RT @bbcmusic: What a pair \xf0\x9f\x98\x8d\n@GregJames @ShawnMendes #SoundsLikeFridayNight https://t.co/sqb617GuOI',London
2018-04-20 20:15:48,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part Two/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
2018-04-20 20:15:46,b'RT @ShawnMendessArg: \xf0\x9f\x93\xbd | Shawn cantando In My Blood en #SoundsLikeFridayNight https://t.co/Dsy0EjSFr6',London
2018-04-20 20:15:45,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part Two/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
2018-04-20 20:15:44,b'RT @NJHNEWS: Niall will be on @BBC\xe2\x80\x99s #SoundsLikeFridayNight next week! (April 27th)',London
2018-04-20 20:15:38,"b' #SoundsLikeFridayNight RT @shawnwwreports: Shawn performing Lost In Japan tonight on Sounds Like Friday Night! \n\n(Part Two/Two)\nApril 20, 2018 #SoundsLikeFridayNi\xe2\x80\xa6'",London
2018-04-20 20:15:36,b'RT @Breathe4Mendes: Shawn performing \xe2\x80\x9cLost In Japan\xe2\x80\x9d on #SoundsLikeFridayNight (4) https://t.co/9pRUSsFz6L',London
