2018-04-20 18:32:00,b'These are the latest planning applications for #Woky https://t.co/YxSITaEAd3',London
2018-04-20 17:22:47,"b'RT @PrueBray: so, 18 seats up in #woky borough and Tories are fielding 17 men and just 1 woman.  Not exactly female friendly are they?  (Fo\xe2\x80\xa6'",London
2018-04-20 17:04:13,"b"" #Woky RT @ReadingGuide: TRAVELLING this weekend? Don't leave home without checking &gt;&gt; https://t.co/cTnEYKdd77 &lt;&lt; for links to live Road, Rail, Ai\xe2\x80\xa6""",London
2018-04-20 17:03:44,"b"" #Woky USUAL top list of Events in the #Rdg area tonight &gt; https://t.co/cTnEYKdd77 &lt; What's On, with full contact details\xe2\x80\xa6 https://t.co/G9SGAPCsXY""",London
2018-04-20 17:03:20,b' #Woky RT @ReadingGuide: SO MANY top theatres in the #Rdg area! Click here &gt;&gt; https://t.co/AClMEB72vr &lt;&lt; for one-hit links to each of them - do th\xe2\x80\xa6',London
2018-04-20 17:02:38,b' #Woky FLYING THIS WEEKEND? Before you leave home see &gt;https://t.co/cTnEYKdd77 &lt; live flight info #Heathrow #Gatwick\xe2\x80\xa6 https://t.co/FS2Cd69aUO',London
2018-04-20 17:01:33,b' #Woky RT @ReadingGuide: NEWSROUND - Click &gt; https://t.co/cTnEYKdd77 &lt; and check all the latest from the leading news and info websites in the #Be\xe2\x80\xa6',London
2018-04-20 17:01:25,b' #Woky RT @ReadingGuide: TRAIN to catch or meet? Is it on time? Delayed? See &gt; https://t.co/cTnEYKdd77 &lt; for link to live departures/arrivals boar\xe2\x80\xa6',London
2018-04-20 17:01:18,"b"" #Woky RT @ReadingGuide: INFO-HUB for all Reading reading &gt; https://t.co/cTnEYKdd77 &lt; links to local News and Sport sites, What's On, Travel inclu\xe2\x80\xa6""",London
2018-04-20 16:28:41,"b'RT @PrueBray: so, 18 seats up in #woky borough and Tories are fielding 17 men and just 1 woman.  Not exactly female friendly are they?  (Fo\xe2\x80\xa6'",London
2018-04-20 15:45:12,"b'RT @PrueBray: so, 18 seats up in #woky borough and Tories are fielding 17 men and just 1 woman.  Not exactly female friendly are they?  (Fo\xe2\x80\xa6'",London
2018-04-20 15:12:51,"b'RT @PrueBray: so, 18 seats up in #woky borough and Tories are fielding 17 men and just 1 woman.  Not exactly female friendly are they?  (Fo\xe2\x80\xa6'",London
2018-04-20 15:12:09,"b'so, 18 seats up in #woky borough and Tories are fielding 17 men and just 1 woman.  Not exactly female friendly are\xe2\x80\xa6 https://t.co/b8FwqDa9nc'",London
2018-04-20 14:00:47,b' #Woky Self-employed reminded about 2018-19 National Insurance Contributions clink the link to read more!\xe2\x80\xa6 https://t.co/UnRD7K0CqD',London
2018-04-20 13:35:08,"b"" #Woky INFO-HUB for all Reading reading &gt; https://t.co/cTnEYKdd77 &lt; links to local News and Sport sites, What's On, Travel\xe2\x80\xa6 https://t.co/Rp45LMNnTP""",London
2018-04-20 13:33:09,b' #Woky TRAIN to catch or meet? Is it on time? Delayed? See &gt; https://t.co/cTnEYKdd77 &lt; for link to live departures/arrival\xe2\x80\xa6 https://t.co/0ZLoGWeCBY',London
2018-04-20 13:32:15,b' #Woky RT @ReadingGuide: FLYING? Before you take off from home see &gt;https://t.co/cTnEYKdd77&lt; live flight info #Heathrow #Gatwick #Southampton #Lut\xe2\x80\xa6',London
