2018-04-20 20:27:53,b'Winding down with a vintage Wyndham #cosyreadingnight https://t.co/pGEj9DcK5F',London
2018-04-20 20:22:20,"b""In to the last hour of #cosyreadingnight and I'm a 100ish pages through 4.50 from Paddington by Agatha Christie.\xe2\x80\xa6 https://t.co/X6SAKd9XSo""",London
2018-04-20 20:21:20,b'@laurenthebooks Got my chelsea garden tea for the final hour of my first ever participation in #cosyreadingnight (l\xe2\x80\xa6 https://t.co/wwWUAQ2Sqp',London
2018-04-20 20:21:12,"b""Finished Birdsong at long last! It's only taken me 3 months... #cosyreadingnight""",London
2018-04-20 20:20:56,b'Yes I love this hashtag #cosyreadingnight',London
2018-04-20 20:18:25,b' #cosyreadingnight Finished Crooked Kingdom and planning to make a start on River of Teeth for the last hour while enjoying a snack\xe2\x80\xa6 https://t.co/dbUwoz53ZD',London
2018-04-20 20:17:51,b'#cosyreadingnight (aka every night tbf) https://t.co/c2ObxPC8TC',London
2018-04-20 20:15:27,"b' #cosyreadingnight @laurenthebooks I am at work, but when I get home I will be reading ""The Beginning of the World in the Middle of th\xe2\x80\xa6 https://t.co/jXhYZbB07o'",London
2018-04-20 20:11:16,"b'It\xe2\x80\x99s the last hour of #cosyreadingnight and it\xe2\x80\x99s time for doughnut, blueberry and blackberry tea and some dedicated\xe2\x80\xa6 https://t.co/4EwF1NNd3T'",London
2018-04-20 20:09:53,"b'(I also have a very sleepy puppy, who is, thankfully, no longer attempting to eat my books!) \xf0\x9f\x90\xb6\xe2\x9d\xa4\xef\xb8\x8f #cosyreadingnight https://t.co/2i3QuC5q65'",London
2018-04-20 20:07:19,b'Time is flying by! Perfect moment to try this intriguing tea. Wonder who it will taste like! #cosyreadingnight\xe2\x80\xa6 https://t.co/7smwE16LQ2',London
2018-04-20 20:07:13,b'Made myself a cocoa and starting Bookworm by @LucyMangan for hour 3 of #cosyreadingnight.',London
2018-04-20 20:06:45,b' #cosyreadingnight Payday came a bit earlier this month so I\xe2\x80\x99m treating myself to some B&amp;J icecream this last hour of\xe2\x80\xa6 https://t.co/4oXC2y2pJw',London
2018-04-20 20:05:56,"b'We\xe2\x80\x99re into the last hour of #cosyreadingnight &amp; I\xe2\x80\x99ve got popcorn, cider &amp; a new book to start! Very excited about t\xe2\x80\xa6 https://t.co/ngwblJIg6v'",London
2018-04-20 20:04:53,b' #cosyreadingnight Wayne has just finished Let Me Lie by @claremackint0sh and is now crying behind the pillow... so cute! And time for\xe2\x80\xa6 https://t.co/TJDKd8WGuu',London
2018-04-20 20:03:33,"b""#cosyreadingnight last hour and I am dipping into this. Had on my shelves for a while. Cannot believe I haven't rea\xe2\x80\xa6 https://t.co/kNzyg61xU4""",London
2018-04-20 20:00:59,b'Last hour and I\xe2\x80\x99m making myself a cup of tea and having a doughnut \xf0\x9f\x8d\xa9 #cosyreadingnight',London
2018-04-20 20:00:32,b'RT @StPartridge: Playing Words with Friends with mum in between reading and just played this #cosyreadingnight https://t.co/00DpoTygj8',London
2018-04-20 19:59:24,b' #cosyreadingnight @syar I\xe2\x80\x99m not completing whole books this evening just making a dent in one and reading a graphic novel for\xe2\x80\xa6 https://t.co/qW3fcEA5ke',London
2018-04-20 19:58:07,b'RT @JGofton: Time for a chocolate break! \xf0\x9f\x8d\xab Really enjoying Six of Crows so far #cosyreadingnight #OWLsReadathon2018 https://t.co/hgssZET7Gi',London
2018-04-20 19:57:03,b'Playing Words with Friends with mum in between reading and just played this #cosyreadingnight https://t.co/00DpoTygj8',London
2018-04-20 19:50:09,b'Time for a chocolate break! \xf0\x9f\x8d\xab Really enjoying Six of Crows so far #cosyreadingnight #OWLsReadathon2018 https://t.co/hgssZET7Gi',London
2018-04-20 19:46:11,"b' #cosyreadingnight @laurenthebooks Very chilled. Got some relaxing music on, a beer and 40 pages of a Sherlock Holmes Meets Sci-Fi mas\xe2\x80\xa6 https://t.co/a3uFAyZHju'",London
2018-04-20 19:43:35,b'Somebody else is getting awfully cozy! \xf0\x9f\x98\xba\n#cosyreadingnight https://t.co/s2t8FQAf2m',London
2018-04-20 19:37:23,"b' #cosyreadingnight @laurenthebooks Hi! Very relaxed, thank you. Just enjoying a cuppa and an Easter egg. Almost done with \xe2\x80\x98Hallow City\xe2\x80\xa6 https://t.co/wYYzRuTgI7'",London
2018-04-20 19:35:20,"b'#cosyreadingnight migraine subsided and a bit of pampering done, had to get toenails summer ready, is that too much\xe2\x80\xa6 https://t.co/0fsTefQzYm'",London
2018-04-20 19:32:52,b'We are half way through #cosyreadingnight guys. How is everyone getting on? Feeling relaxed and chilled?',London
2018-04-20 19:32:49,b'Finished #AceOfShades with 1h 30m left of #CosyReadingNight - Roll on next spring for book 2 of the Shadow Game. No\xe2\x80\xa6 https://t.co/I80iYKVZ4v',London
2018-04-20 19:28:28,b'Come home late ... gonna start reading #SingUnburiedSing for #cosyreadingnight \xf0\x9f\x98\xac\xf0\x9f\x98\xac https://t.co/jNdPvJJDin',London
2018-04-20 19:28:25,b'Almost at the half-way point of #cosyreadingnight . Time for a comfort break and beverage refill.',London
2018-04-20 19:27:41,b'Right #cosyreadingnight I\xe2\x80\x99m dipping in to this graphic novel and then back to Eleanor Oliphant as I\xe2\x80\x99m well and trul\xe2\x80\xa6 https://t.co/OaSBjxOw5e',London
2018-04-20 19:26:13,"b""Time to bring out the big guns for #cosyreadingnight with my girl crush @laurenthebooks it's snack.. treat time.. https://t.co/Q4DsdjHsVA""",London
2018-04-20 19:26:09,"b""I'm gonna pretend like I'm not 1:30h late for @laurenthebooks #cosyreadingnight cause I totally forgot the time...\xe2\x80\xa6 https://t.co/qMy4NRW8nY""",London
2018-04-20 19:25:24,b'#cosyreadingnight Part II: now with more caffeine https://t.co/7nCthKP6Vr',London
2018-04-20 19:25:05,"b'Starting #cosyreadingnight late, but better late than never!! Accompanied by Roald Dahl\xe2\x80\x99s adult\xe2\x80\xa6 https://t.co/nPMed7MFVA'",London
2018-04-20 19:24:50,b'#cosyreadingnight back to Vera Strawberries and Oreo Ice Cream https://t.co/vpriGR4AhC',London
2018-04-20 19:23:23,"b' #cosyreadingnight Read halfway through the Princess Jellyfish omnibus, now focusing on finishing my Overdrive copy of Binti: The Nigh\xe2\x80\xa6 https://t.co/dj1AmQDdNN'",London
2018-04-20 19:23:14,b'#cosyreadingnight the next generation https://t.co/4i5Z2xyQQH',London
2018-04-20 19:22:35,"b' #cosyreadingnight Reading my first middle-grade book since, well, middle grade. Opening line: ""The journalists arrived before the cof\xe2\x80\xa6 https://t.co/VeKPPRViOm'",London
2018-04-20 19:22:13,b'Starting #cosyreadingnight late.. but better late than never!! Accompanied by Roald Dahl\xe2\x80\x99s Adult\xe2\x80\xa6 https://t.co/tgpg5DQXVa',London
2018-04-20 19:22:02,"b""I'm in the middle of so many books that I don't know what to read! Flitting between them at the moment.... #cosyreadingnight""",London
2018-04-20 19:19:25,b' #cosyreadingnight And whilst I\xe2\x80\x99m more than happy for children to enjoy the sun must they be so loud? I live on a council estate and t\xe2\x80\xa6 https://t.co/pZtL7We7eb',London
2018-04-20 19:16:00,b'Bit late to #cosyreadingnight but loving being out in the garden for it. Purely based on the\xe2\x80\xa6 https://t.co/1BDs2Ebe97',London
2018-04-20 19:13:35,b'Going into hour two of #cosyreadingnight ... \xf0\x9f\x93\x9a https://t.co/lPkR0g8tQy',London
2018-04-20 19:12:46,"b' #cosyreadingnight Got slightly distracted from reading when my friend just told me she is PREGNANT!!! I\xe2\x80\x99ll drink to that \xf0\x9f\xa5\x82 Also, my v\xe2\x80\xa6 https://t.co/r6AJumYgOJ'",London
2018-04-20 19:11:28,"b""First hour of #cosyreadingnight have passed and I still haven't started yet because of the sad news of #avicci \xf0\x9f\x98\xa2 bu\xe2\x80\xa6 https://t.co/2LVl3pUPyy""",London
2018-04-20 19:10:21,b'Continuing... With provisions \xf0\x9f\x8d\xab\n\n#cosyreadingnight https://t.co/JPZ6A5SJcf',London
2018-04-20 19:10:15,b'#cosyreadingnight hour 2 and a date with Alex and the Tatooist if Auschwitz for next half hour',London
