2018-04-20 20:16:31,b'@LeeMack bloody lovely on hignfy right now being funny and sexy as hell as usual #hignfy',London
2018-04-20 20:16:26,b'#HIGNFY How very dare you Lee Mack - I made that Monty Phython joke days ago! See my feed. #liberty',London
2018-04-20 20:16:16,"b'Shipman, Crippen, No\n#McCann #HIGNFY'",London
2018-04-20 20:15:56,b' #hignfy Check out The Rebels #How Blair Mislaid His Majority Philip Cowley Paperback Politicos  https://t.co/0rFLtnBqkk via\xe2\x80\xa6 https://t.co/P4TdB0G8IH',London
2018-04-20 20:15:50,b'@sarapascoe on awesome form on #hignfy',London
2018-04-20 20:15:49,"b""#HIGNFY isn't punching up any longer. I'm out.""",London
2018-04-20 20:15:15,b'Bloody shitbag establishment #hignfy',London
2018-04-20 20:15:14,"b""@Dits1710 Frankie Boyle's New World Order is a high bar to clear. #HIGNFY""",London
2018-04-20 20:14:53,"b""I'm obsessed with Sara Pascoes hair. It's soooo platinum #HIGNFY""",London
2018-04-20 20:14:47,"b'Lefties, lefties everywhere \xf0\x9f\x91\x80 #HIGNFY https://t.co/uQVYST4YUj'",London
2018-04-20 20:14:40,b'#hignfy\nIs it because he is straining to read the autocue?\nToo vain to wear glasses https://t.co/H3dxQLZW2a',London
2018-04-20 20:14:22,"b'#HIGNFY porter = embarrassing, can she talk through her nose anymore'",London
2018-04-20 20:14:08,"b'Ah, every time I forget #HIGNFY has gone RW Ian Hislop ruins the facade...'",London
2018-04-20 20:13:54,b'@onbbc1now Street Porter putting the metro bubble in its place. #hignfy',London
2018-04-20 20:13:40,b'#HIGNFY is a complete joke! Just another piece of @BBC propaganda.',London
2018-04-20 20:13:35,"b'News flash: Janet Street-Porter doesn\'t know how ""the Internet"" works. #hignfy'",London
2018-04-20 20:13:17,b'I am sorry to report that #Gogglebox has supplanted #hignfy chez nous. For the more snobbish cerebral people- it\xe2\x80\x99s hilarious!',London
2018-04-20 20:13:07,b'Janet Street-Porter doesn\xe2\x80\x99t know her router passcode #hignfy',London
2018-04-20 20:13:06,"b""It's a good job I wasn't eating my tea when that vile war criminal came on #hignfy""",London
2018-04-20 20:12:51,"b""No doubt they'll tackle this on #HIGNFY by making a joke of it. https://t.co/CBat6uixgN""",London
2018-04-20 20:12:40,"b""#hignfy If you're getting offended by this show then simply don't fucking watch it. Jesus shit.""",London
2018-04-20 20:12:40,b'Sara pascoe looks bored on #hignfy \xf0\x9f\x98\xb3',London
2018-04-20 20:12:24,"b' #hignfy Jesus, the BBC roll out the talentless, unfunny &amp; endlessly annoying @sarapascoe on a panel show yet again. One won\xe2\x80\xa6 https://t.co/xtCHcIl3ul'",London
2018-04-20 20:12:18,b'it still is an official Home Office document for Jamaican deportees https://t.co/KhCYBPccPI see page 24 for #hignfy quote',London
2018-04-20 20:12:08,b'Ha.. State of Blair #hignfy',London
2018-04-20 20:11:52,b'Why is @LeeMack blinking so much? Do you need Specsavers??  #hignfy',London
2018-04-20 20:11:41,b'Satire is dead...#Hignfy fail to make the most of the Lying May and Rudd',London
2018-04-20 20:11:35,b'#hignfy shitty attacking hunt now',London
2018-04-20 20:11:33,"b"" #hignfy @Heathercowper @gladlib @NthEastWales @treecarving Gosh - whilst I've been scurrying for my pfoto, I missed all thi\xe2\x80\xa6 https://t.co/L38XGw3x6K""",London
2018-04-20 20:11:19,b'Am loving @sarapascoe on #HIGNFY \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',London
2018-04-20 20:11:06,"b"" #hignfy I don't read the #Sun but fair play the front page headline about the Windrush debate and Rudd's apology is pricele\xe2\x80\xa6 https://t.co/KCqm1btqgn""",London
2018-04-20 20:10:59,"b' #hignfy ""It was Theresa May\'s job was to make the UK less attractive to immigrants!"" -@The_Real_JSP \n""Yes, it was called au\xe2\x80\xa6 https://t.co/rCRlYdqNRO'",London
2018-04-20 20:10:56,b'&amp; Hunt is a cunt #hignfy',London
