yelp_id,id,name,image_url,url,phone,display_phone,review_count,categories__alias,categories__title,rating,location__address1,location__address3,location__city,location__zip_code,location__country,location__state,location__display_address,location__cross_streets,coordinates__latitude,coordinates__longitude,photos,,,,,,,,,,,,,,,,,
1,coolidge-corner-theatre-brookline-2,Coolidge Corner Theatre,https://s3-media3.fl.yelpcdn.com/bphoto/RFVooG_0PxwZCHryoi2kzQ/o.jpg,https://www.yelp.com/biz/coolidge-corner-theatre-brookline-2?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16177342500,(617) 734-2500,357,movietheaters,Cinema,4.5,290 Harvard St,,Brookline,2446,US,MA,290 Harvard St,,42.3425882,-71.1224629,https://s3-media2.fl.yelpcdn.com/bphoto/ODb1Xsy6u3Qa_fGHx8D6uw/o.jpg,,,,,,,,,,,,,,,,,
2,showcase-superlux-newton-2,Showcase SuperLux,https://s3-media2.fl.yelpcdn.com/bphoto/GOtzKliKfvXdi356-AEE8g/o.jpg,https://www.yelp.com/biz/showcase-superlux-newton-2?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16176585160,(617) 658-5160,254,movietheaters,Cinema,3,55 Boylston St,,Newton,2467,US,MA,55 Boylston St,,42.32220681,-71.17031044,https://s3-media3.fl.yelpcdn.com/bphoto/mvjLEi7iCFctknbLRQwMAQ/o.jpg,,,,,,,,,,,,,,,,,
3,kendall-square-cinema-cambridge,Kendall Square Cinema,https://s3-media2.fl.yelpcdn.com/bphoto/GOtzKliKfvXdi356-AEE8g/o.jpg,https://www.yelp.com/biz/kendall-square-cinema-cambridge?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16176211202,(617) 621-1202,274,movietheaters,Cinema,4,355 Binney St,,Cambridge,2139,US,MA,355 Binney St,,42.368196,-71.090026,https://s3-media2.fl.yelpcdn.com/bphoto/7b-oPCCDjux1cj3nDlEyJQ/o.jpg,,,,,,,,,,,,,,,,,
4,the-lyric-stage-company-of-boston-boston,The Lyric Stage Company of Boston,https://s3-media1.fl.yelpcdn.com/bphoto/C8wst5xU7ekEjGVE7Jy8Vg/o.jpg,https://www.yelp.com/biz/the-lyric-stage-company-of-boston-boston?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16175855678,(617) 585-5678,22,theater,Performing Arts,4.5,140 Clarendon St,,Boston,2116,US,MA,140 Clarendon St,,42.3487726,-71.074474,https://s3-media3.fl.yelpcdn.com/bphoto/DPPzWuUm2vuy6sSekmdzyw/o.jpg,,,,,,,,,,,,,,,,,
5,dedham-community-theatre-dedham,Dedham Community Theatre,https://s3-media2.fl.yelpcdn.com/bphoto/0u_oQuAR2D1uGYYcdNKH1g/o.jpg,https://www.yelp.com/biz/dedham-community-theatre-dedham?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,17813261463,(781) 326-1463,35,movietheaters,Cinema,4.5,580 High St,,Dedham,2026,US,MA,580 High St,,42.2479477,-71.1730499,https://s3-media2.fl.yelpcdn.com/bphoto/0u_oQuAR2D1uGYYcdNKH1g/o.jpg,,,,,,,,,,,,,,,,,
6,showcase-superlux-newton-2,Showcase SuperLux,https://s3-media2.fl.yelpcdn.com/bphoto/GOtzKliKfvXdi356-AEE8g/o.jpg,https://www.yelp.com/biz/showcase-superlux-newton-2?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16176585160,(617) 658-5160,254,movietheaters,Cinema,3,55 Boylston St,,Newton,2467,US,MA,55 Boylston St,,42.32220681,-71.17031044,https://s3-media3.fl.yelpcdn.com/bphoto/mvjLEi7iCFctknbLRQwMAQ/o.jpg,,,,,,,,,,,,,,,,,
7,coolidge-corner-theatre-brookline-2,Coolidge Corner Theatre,https://s3-media3.fl.yelpcdn.com/bphoto/RFVooG_0PxwZCHryoi2kzQ/o.jpg,https://www.yelp.com/biz/coolidge-corner-theatre-brookline-2?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16177342500,(617) 734-2500,357,movietheaters,Cinema,4.5,290 Harvard St,,Brookline,2446,US,MA,290 Harvard St,,42.3425882,-71.1224629,https://s3-media2.fl.yelpcdn.com/bphoto/ODb1Xsy6u3Qa_fGHx8D6uw/o.jpg,,,,,,,,,,,,,,,,,
8,aladdins-grill-revere-2,Aladdin's Grill,https://s3-media2.fl.yelpcdn.com/bphoto/wAZepJmLtz19IBK0Qx4Fiw/o.jpg,https://www.yelp.com/biz/aladdins-grill-revere-2?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,17812894670,(781) 289-4670,61,mediterranean,Mediterranean,5,148 Squire Rd,,Revere,2151,US,MA,148 Squire Rd,Larkin St,42.42324,-71.00951,https://s3-media4.fl.yelpcdn.com/bphoto/gKYgiLR0uuvl3fVUtfnGnQ/o.jpg,,,,,,,,,,,,,,,,,
9,blackstrap-bbq-winthrop,Blackstrap BBQ,https://s3-media3.fl.yelpcdn.com/bphoto/hKRHMJ1I275p7jWCq8AkVA/o.jpg,https://www.yelp.com/biz/blackstrap-bbq-winthrop?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16172071783,(617) 207-1783,304,bbq,Barbeque,4,47 Woodside Ave,Ste A,Winthrop,2152,US,MA,47 Woodside Ave,,42.3746937,-70.9869134,https://s3-media2.fl.yelpcdn.com/bphoto/d78hwXfuAnoIZmLJ_B-iQQ/o.jpg,,,,,,,,,,,,,,,,,
10,hokkaido-ramen-santouka-cambridge-2,Hokkaido Ramen Santouka,https://s3-media1.fl.yelpcdn.com/bphoto/-94On9pzr0LKHPYynTGPBQ/o.jpg,https://www.yelp.com/biz/hokkaido-ramen-santouka-cambridge-2?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16179451460,(617) 945-1460,741,ramen,Ramen,4,1 Bow St,,Cambridge,2138,US,MA,,,42.3722,-71.11582,https://s3-media2.fl.yelpcdn.com/bphoto/yHjcI-IScTFspTHeRKwwiQ/o.jpg,,,,,,,,,,,,,,,,,
11,lukes-lobster-back-bay-boston,Luke's Lobster Back Bay,https://s3-media1.fl.yelpcdn.com/bphoto/fri_Oe_6JlSrKoJjAOTtZA/o.jpg,https://www.yelp.com/biz/lukes-lobster-back-bay-boston?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,18573504626,(857) 350-4626,906,seafood,Seafood,4.5,75 Exeter Street,,Boston,2116,US,MA,75 Exeter Street,,42.34856014,-71.07912242,https://s3-media1.fl.yelpcdn.com/bphoto/fri_Oe_6JlSrKoJjAOTtZA/o.jpg,,,,,,,,,,,,,,,,,
12,saus-boston,Saus,https://s3-media4.fl.yelpcdn.com/bphoto/U_GZbsZdQYeoFwWmKdRg_g/o.jpg,https://www.yelp.com/biz/saus-boston?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16172488835,(617) 248-8835,1054,sandwiches,Sandwiches,4,33 Union St,,Boston,2108,US,MA,33 Union St,,42.36108001,-71.05707189,https://s3-media4.fl.yelpcdn.com/bphoto/U_GZbsZdQYeoFwWmKdRg_g/o.jpg,,,,,,,,,,,,,,,,,
13,lolita-cocina-and-tequila-fort-point-boston,Lolita Cocina & Tequila Fort Point,https://s3-media1.fl.yelpcdn.com/bphoto/6xwjE5gpgb6otViq_9S2bA/o.jpg,https://www.yelp.com/biz/lolita-cocina-and-tequila-fort-point-boston?adjust_creative=mrsvBGDT1QDCWnCyW2E6rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mrsvBGDT1QDCWnCyW2E6rg,16173690931,(617) 369-0931,24,newmexican,New Mexican Cuisine,4,253 Summer St,,Boston,2210,US,MA,253 Summer St,Melcher St,42.350274,-71.051305,https://s3-media1.fl.yelpcdn.com/bphoto/UldEY2mJbLUc6QDSbxcKJA/o.jpg,,,,,,,,,,,,,,,,,
